Cultura,Ano,Variable,Trat,SK,average,sdev,max
Milheto,1,MFM,S0,b,"117,985","56,96095359","173,3"
Milheto,1,MFM,S20,a,"232,6625","90,1788905","335,5"
Milheto,1,MFM,S40,b,"194,27","68,32192962","280,95"
Milheto,1,MFM,S60,a,"273,1925","25,23458391","300,7"
Milheto,1,MFM,S80,a,"296,67","58,21793939","382,58"
Milheto,1,MSM,S0,b,"33,085","12,85178198","42,37"
Milheto,1,MSM,S20,a,"61,8175","18,23324139","79,64"
Milheto,1,MSM,S40,b,"48,6725","16,02552209","63,01"
Milheto,1,MSM,S60,a,"72,68","6,742862893","80,09"
Milheto,1,MSM,S80,a,"73,3225","9,510430677","86,34"
Milheto,2,MFM,S0,c,"15,77875","3,87962278","21,3"
Milheto,2,MFM,S20,b,"84,11875","34,39974864","121,12"
Milheto,2,MFM,S40,a,"165,89625","72,79660859","245,43"
Milheto,2,MFM,S60,a,"209,14375","76,39348089","301,775"
Milheto,2,MFM,S80,b,"111,86125","43,10792355","165,35"
Milheto,2,MSM,S0,b,"4,6725","1,349824063","6,61"
Milheto,2,MSM,S20,a,"23,61","8,312472556","32,68"
Milheto,2,MSM,S40,a,"42,17125","13,69608848","58,07"
Milheto,2,MSM,S60,a,"39,64625","13,01911887","51,555"
Milheto,2,MSM,S80,a,"29,6275","12,62979909","47,06"
Aveia,1,MFA,S0,b,"104,22625","17,99136431","122,3"
Aveia,1,MFA,S20,b,"156,29125","24,1194577","179,93"
Aveia,1,MFA,S40,a,"208,37375","41,41707767","256,525"
Aveia,1,MFA,S60,a,"199,53875","28,37818422","239,44"
Aveia,1,MFA,S80,a,"189,235","59,81035376","245,47"
Aveia,1,MSA,S0,ns,"49,64375","20,59578168","71,865"
Aveia,1,MSA,S20,,"77,96","20,49542469","97,255"
Aveia,1,MSA,S40,,"104,05875","42,536514","149,925"
Aveia,1,MSA,S60,,"117,635","34,72719468","168,85"
Aveia,1,MSA,S80,,"108,81","38,95425094","145,09"
Aveia,2,MFA,S0,b,"244,0725","60,06127392","303,92"
Aveia,2,MFA,S20,a,"566,3025","119,5719595","709,14"
Aveia,2,MFA,S40,a,"569,905","94,06006609","683,51"
Aveia,2,MFA,S60,a,"663,28","118,9596021","808,08"
Aveia,2,MFA,S80,a,"620,905","191,23643","787,42"
Aveia,2,MSA,S0,b,"75,5175","9,473258415","83,77"
Aveia,2,MSA,S20,a,"240,09","69,20042919","308,7"
Aveia,2,MSA,S40,a,"221,2525","43,81850018","262,23"
Aveia,2,MSA,S60,a,"241,2725","49,05305453","306,31"
Aveia,2,MSA,S80,a,"235,305","86,60080311","305,05"
Soya,1,AP,S0,ns,"86,85","33,35351056","119,2"
Soya,1,AP,S20,,"100,375","21,8261884","123,3"
Soya,1,AP,S40,,"93,7","22,33815868","127,2"
Soya,1,AP,S60,,"102,275","20,24127384","123,5"
Soya,1,AP,S80,,"96,65","10,43886967","106,6"
Soya,1,DC,S0,c,"0,8779166667","0,09040418501","0,9966666667"
Soya,1,DC,S20,b,"0,9595833333","0,0352865256","0,9933333333"
Soya,1,DC,S40,b,"0,9529166667","0,08811161903","1,056666667"
Soya,1,DC,S60,a,"1,052083333","0,06730768213","1,141666667"
Soya,1,DC,S80,a,"1,026666667","0,05293252168","1,105"
Soya,1,NV,S0,ns,"49,66666667","22,42571276",70
Soya,1,NV,S20,,"64,33333333","6,792152334","73,2"
Soya,1,NV,S40,,"65,53333333","12,11060142","81,13333333"
Soya,1,NV,S60,,"84,81666667","14,75442181","104,3333333"
Soya,1,NV,S80,,"71,01666667","13,97324162","90,13333333"
Soya,1,PROD,S0,b,"2896,01325","1057,611378","3828,006"
Soya,1,PROD,S20,a,"4433,5512","634,6242266","5272,24464"
Soya,1,PROD,S40,a,"4702,84542","726,4471712","5625,9684"
Soya,1,PROD,S60,a,"5685,05574","723,2520876","6477,46632"
Soya,1,PROD,S80,a,"4728,45438","704,2991269","5407,75872"
Soya,2,AP,S0,b,"87,125","15,17264534","102,8"
Soya,2,AP,S20,a,"120,9","5,9838672","129,8"
Soya,2,AP,S40,a,"118,725","1,793274472","120,5"
Soya,2,AP,S60,a,"121,275","3,628015987","124,7"
Soya,2,AP,S80,a,"124,375","8,633799859","135,2"
Soya,2,DC,S0,ns,"0,8375","0,166007028","1,05"
Soya,2,DC,S20,,"1,03","0,06582805886","1,1"
Soya,2,DC,S40,,"1,0275","0,131497782","1,2"
Soya,2,DC,S60,,"1,0275","0,1761391495","1,18"
Soya,2,DC,S80,,"0,975","0,1447987109","1,12"
Soya,2,NV,S0,c,"76,325","18,98374305","101,9"
Soya,2,NV,S20,b,"99,625","12,2638697","112,1"
Soya,2,NV,S40,a,"125,7","42,64723516","184,2"
Soya,2,NV,S60,a,"128,05","12,66846478","140,4"
Soya,2,NV,S80,b,"97,55","18,50504436","123,2"
Soya,2,PROD,S0,c,"4100,16789","1295,079192","5466,97944"
Soya,2,PROD,S20,b,"5740,94196","794,3600404","6690,3408"
Soya,2,PROD,S40,a,"6464,52846","559,0327985","7075,54224"
Soya,2,PROD,S60,a,"7536,90366","743,6704098","8173,5264"
Soya,2,PROD,S80,b,"5510,86146","402,3324221","5799,3624"
