"year","block","treatment","depth","crop","pH","OM","P","Ca","AP","DC","NV","PROD"
"2019/2020",1,"0","0-5cm","oat",5.7,2.5,17,5,57,1.4,25,3488
"2019/2020",2,"0","5-10cm","oat",5.9,2.6,22,6.4,91,1.4,29,3689
"2019/2020",3,"0","10-20cm","oat",6.8,2.9,15,4.4,64,1.4,33,4178
"2019/2020",4,"0","0-5cm","oat",6,2.5,15,5.6,80,1.4,34,4107
"2019/2020",1,"0","5-10cm","oat",6.1,2.7,15,5.3,78,1.6,28,3798
"2019/2020",2,"0","10-20cm","oat",6.9,2.7,15,3.8,93,1.6,29,4506
"2019/2020",3,"0","0-5cm","oat",6.2,2.8,9,3.3,82,1.1,29,3179
"2019/2020",4,"0","5-10cm","oat",5.4,2.3,10,3,81,1.1,30,4241
"2019/2020",1,"0","10-20cm","oat",5.7,3,15,5.6,87,1.5,38,4785
"2019/2020",2,"0","0-5cm","oat",5.8,2.4,13,5,72,1.5,26,3796
"2019/2020",3,"0","5-10cm","oat",6.6,2.5,15,6.9,78,1,29,4194
"2019/2020",4,"0","10-20cm","oat",6.2,2.9,9,5.6,92,1.3,30,3721
"2019/2020",1,"0","0-5cm","oat",6.2,2.9,11,5.8,87,1.5,23,3989
"2019/2020",2,"0","5-10cm","oat",6.1,2.2,12,6.3,67,1.8,25,4408
"2019/2020",3,"0","10-20cm","oat",5.7,2.2,18,4.5,86,1.1,31,3543
"2019/2020",4,"0","0-5cm","oat",6.9,2.1,12,5.5,66,1.2,32,3723
"2019/2020",1,"0","5-10cm","oat",6.2,2.6,13,5.9,74,1.3,36,4266
"2019/2020",2,"0","10-20cm","oat",5,2.5,15,6.4,92,1.5,28,4208
"2019/2020",3,"0","0-5cm","oat",6.4,2.6,14,5.8,57,1.6,37,4403
"2019/2020",4,"0","5-10cm","oat",5.8,2.7,15,5.4,62,1.4,26,4626
"2019/2020",1,"0","10-20cm","oat",5.5,2.3,22,4.1,93,1.2,22,4385
"2019/2020",2,"0","0-5cm","oat",5.9,2.2,12,5.7,72,1.4,20,3461
"2019/2020",3,"0","5-10cm","oat",5.5,2.8,14,5.5,92,1.4,36,4077
"2019/2020",4,"0","10-20cm","oat",5.6,2.7,13,5.6,78,1.5,32,3800
"2019/2020",1,"0","0-5cm","oat",5.7,2,20,5.4,84,1.8,29,3997
"2019/2020",2,"0","5-10cm","oat",5.2,2.5,13,4.8,88,1.4,29,4459
"2019/2020",3,"0","10-20cm","oat",6.4,2.2,15,4.9,73,1.5,38,4138
"2019/2020",4,"0","0-5cm","oat",6.1,1.9,17,5.7,77,1.4,36,4078
"2019/2020",1,"0","5-10cm","oat",5.4,2.5,12,5.2,76,1.3,25,3940
"2019/2020",2,"0","10-20cm","oat",6.6,2.5,20,4.2,108,1.6,23,4199
"2019/2020",3,"0","0-5cm","oat",6.2,2.5,17,4.7,81,1.3,35,3411
"2019/2020",4,"0","5-10cm","oat",5.9,2.6,12,3.7,85,2,33,3789
"2019/2020",1,"0","10-20cm","oat",6.4,2.8,16,4,77,1.5,27,4808
"2019/2020",2,"0","0-5cm","oat",6.4,2.6,14,4.9,78,1.5,32,4308
"2019/2020",3,"0","5-10cm","oat",6.4,2.3,16,3.2,94,1.5,20,3519
"2019/2020",4,"0","10-20cm","oat",6.3,2.3,15,3.3,77,1.9,27,3386
"2019/2020",1,"0","0-5cm","oat",6.3,2.5,18,6.1,80,1.6,32,3520
"2019/2020",2,"0","5-10cm","oat",6,2.6,11,4.4,84,1.4,30,4290
"2019/2020",3,"0","10-20cm","oat",5.8,2.2,13,3.1,76,1.3,24,4217
"2019/2020",4,"0","0-5cm","oat",5.8,2.4,14,4.9,100,1.3,35,3716
"2019/2020",1,"0","5-10cm","oat",5.7,2.8,12,6.3,66,1.3,36,3816
"2019/2020",2,"0","10-20cm","oat",5.9,2.5,12,5.7,100,1.7,25,4489
"2019/2020",3,"0","0-5cm","oat",5.4,2.3,15,5.4,76,1.5,29,3846
"2019/2020",4,"0","5-10cm","oat",7.1,2.4,15,6.2,94,1.3,34,3971
"2019/2020",1,"0","10-20cm","oat",6.6,2.8,7,4.2,60,1.7,34,4176
"2019/2020",2,"0","0-5cm","oat",5.4,2.7,18,5.7,90,1.8,27,3909
"2019/2020",3,"0","5-10cm","oat",5.8,2.9,16,4.4,89,1.4,26,3632
"2019/2020",4,"0","10-20cm","oat",5.8,2.5,22,5,67,1.4,32,3794
"2019/2020",1,"0","0-5cm","oat",6.4,2.6,17,7.2,72,1.6,20,3459
"2019/2020",2,"0","5-10cm","oat",6,2.3,14,6,82,1.5,25,4235
"2019/2020",3,"0","10-20cm","oat",6.1,2.7,23,5.8,91,1.6,34,4666
"2019/2020",4,"0","0-5cm","oat",6,2.3,23,3.9,72,1.8,21,4122
"2019/2020",1,"0","5-10cm","oat",6,2.1,11,4.2,78,1.5,24,4406
"2019/2020",2,"0","10-20cm","oat",6.7,2.5,16,7.3,96,1.4,29,3674
"2019/2020",3,"0","0-5cm","oat",5.9,3.1,14,3.9,69,1.6,28,3930
"2019/2020",4,"0","5-10cm","oat",6.8,2.7,16,5.2,89,1.5,21,3932
"2019/2020",1,"0","10-20cm","oat",5.2,2.8,16,5.9,84,1.6,33,3285
"2019/2020",2,"0","0-5cm","oat",6.3,2.6,11,6,69,1.5,25,4044
"2019/2020",3,"0","5-10cm","oat",6.1,2.3,16,6.1,73,1.6,29,4240
"2019/2020",4,"0","10-20cm","oat",6.1,2.4,20,4.8,88,1.2,29,4342
"2019/2020",1,"0","0-5cm","oat",6.2,2.4,15,4.2,82,1.5,33,4658
"2019/2020",2,"0","5-10cm","oat",5.7,2.4,15,4.7,94,1.4,30,3264
"2019/2020",3,"0","10-20cm","oat",5.8,2.7,19,4.1,74,1.3,29,4309
"2019/2020",4,"0","0-5cm","oat",5.5,2.1,18,5.6,63,1.4,38,4359
"2019/2020",1,"0","5-10cm","oat",5.5,2.8,10,6.1,90,1.6,32,3895
"2019/2020",2,"0","10-20cm","oat",6.2,2.8,16,7.1,74,1.5,33,4301
"2019/2020",3,"0","0-5cm","oat",6.2,2.1,20,5.4,81,1.6,32,3293
"2019/2020",4,"0","5-10cm","oat",6,2.7,19,4.1,97,1.7,33,4107
"2019/2020",1,"0","10-20cm","oat",6.5,3.2,16,6,77,1.7,37,2435
"2019/2020",2,"0","0-5cm","oat",7,2.3,17,5.9,95,1.4,30,4156
"2019/2020",3,"0","5-10cm","oat",5.8,2.8,11,4.8,69,1.2,31,4801
"2019/2020",4,"0","10-20cm","oat",4.8,2.3,16,3.4,89,1.4,40,4771
"2019/2020",1,"0","0-5cm","oat",6.5,2.8,12,5.8,82,1.7,27,2670
"2019/2020",2,"0","5-10cm","oat",5.6,2.6,14,6.1,73,1.5,36,4268
"2019/2020",3,"0","10-20cm","oat",5.7,3,18,4.7,67,1.2,27,3825
"2019/2020",4,"0","0-5cm","oat",6.5,2.1,12,5.5,81,1.6,39,3987
"2019/2020",1,"0","5-10cm","oat",5.9,2.5,16,4.7,83,1.6,27,2892
"2019/2020",2,"0","10-20cm","oat",5.4,2.3,16,5.7,83,1.4,26,4193
"2019/2020",3,"0","0-5cm","oat",6.1,2.4,15,4.9,85,1.5,35,3737
"2019/2020",4,"0","5-10cm","oat",5.9,2.3,20,4.7,75,1.8,35,4187
"2019/2020",1,"20","10-20cm","oat",6.1,2.25,12,5.1,75,1.8,33,3954
"2019/2020",2,"20","0-5cm","oat",6.3,2.75,17,4.7,82,1.4,31,3537
"2019/2020",3,"20","5-10cm","oat",5.9,2.25,15,4.4,75,1.5,31,4217
"2019/2020",4,"20","10-20cm","oat",6.4,2.95,14,4.7,92,1.2,40,4348
"2019/2020",1,"20","0-5cm","oat",6,2.15,16,5,82,1.4,23,4077
"2019/2020",2,"20","5-10cm","oat",6.3,2.55,12,5.2,74,1.9,25,4334
